# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+gd3c45e3ec" 
Date_of_run______________________________________________________________ (date)_________________________ "21/08/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "09:50" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "EU-DEMO LAR 2023 baseline" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/low_aspect_ratio_DEMO.IN.DAT" 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________          -14 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (n_iteration_variables)________           19 
Number_of_constraints_(total)____________________________________________ (n_equality_constraints+n_inequality_constraints)_           25 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________          -14 
Objective_function_name__________________________________________________ (objf_name)____________________ "Pulse length" 
Normalised_objective_function____________________________________________ (norm_objf)____________________ -4.06296230227867206e-01 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 4.27452561338156947e-10 OP 
Number_of_optimising_solver_iterations___________________________________ (n_solver_iterations)__________           16 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 3.07202943935903013e-14 OP 
b_plasma_toroidal_on_axis________________________________________________ (itvar001)_____________________ 4.39329542085668390e+00 
b_plasma_toroidal_on_axis_(final_value/initial_value)____________________ (xcm001)_______________________ 9.99182008686258949e-01 
b_plasma_toroidal_on_axis_(range_normalised)_____________________________ (nitvar001)____________________ 2.19274408246957653e-01 
b_plasma_toroidal_on_axis_(upper_bound)__________________________________ (boundu001)____________________ 2.00000000000000000e+01 
b_plasma_toroidal_on_axis_(lower_bound)__________________________________ (boundl001)____________________ 1.00000000000000002e-02 
rmajor___________________________________________________________________ (itvar002)_____________________ 8.59999999997261355e+00 
