# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g22307063e" 
Date_of_run______________________________________________________________ (date)_________________________ "19/02/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "11:41" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________  "HELIAS-5B" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/helias_5b.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            7 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________            3 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________            5 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            7 
Objective_function_name__________________________________________________ (objf_name)____________________ "capital cost          " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 7.37475986551350382e-01 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 1.95520790843159572e-06 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 1.92735970500799611e-07 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________            3 OP 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar001)_____________________ 7.13621419740068141e+00 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm001)_______________________ 1.01945917105724027e+00 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar001)____________________ 1.49343533209556290e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu001)____________________ 2.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl001)____________________ 4.00000000000000000e+00 
nd_plasma_electrons_vol_avg______________________________________________ (itvar002)_____________________ 2.12767882800432546e+20 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm002)_______________________ 1.01734667113145516e+00 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar002)____________________ 3.88389590393097117e-01 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu002)____________________ 5.00500000000000000e+20 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl002)____________________ 3.00500000000000000e+19 
hfact____________________________________________________________________ (itvar003)_____________________ 1.22022678182600774e+00 
hfact_(final_value/initial_value)________________________________________ (xcm003)_______________________ 1.00125279545910217e+00 
hfact_(range_normalised)_________________________________________________ (nitvar003)____________________ 5.89593043066319766e-01 
hfact_(upper_bound)______________________________________________________ (boundu003)____________________ 2.00000000000000000e+00 
hfact_(lower_bound)______________________________________________________ (boundl003)____________________ 1.00000000000000006e-01 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ 4.06877181502451890e-07 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ -1.78551046690114856e-07 
Global_power_balance_consistency__constraint_value_______________________ (val_eq_con002)________________ 4.38832963498066109e-01 
Global_power_balance_consistency__units__________________________________ (eq_units_con002)______________      'MW/m3' 
Radial_build_consistency__________normalised_residue_____________________ (eq_con011)____________________ -1.11022302462515654e-16 
Radial_build_consistency__________residual_______________________________ (res_eq_con011)________________ 2.44249065417534439e-15 
Radial_build_consistency__________constraint_value_______________________ (val_eq_con011)________________ 2.19999999999999964e+01 
Radial_build_consistency__________units__________________________________ (eq_units_con011)______________          'm' 
Net_electric_power_lower_limit____normalised_residue_____________________ (eq_con016)____________________ 1.91240396474334773e-06 
Net_electric_power_lower_limit____residual_______________________________ (res_eq_con016)________________ 1.91240396475222951e-03 
Net_electric_power_lower_limit____constraint_value_______________________ (val_eq_con016)________________ 1.00000000000000000e+03 
