# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________      "3.2.1" 
Date_of_run______________________________________________________________ (date)_________________________ "30/10/2025 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "15:38" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________  "HELIAS-5B" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/helias_5b.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            7 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________            5 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________            5 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            7 
Objective_function_name__________________________________________________ (objf_name)____________________ "capital cost          " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 7.31627370796603782e-01 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 3.40544305339072851e-07 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 3.95129398943493011e-07 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________            6 OP 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar001)_____________________ 7.07844581319601751e+00 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm001)_______________________ 1.01120654474228822e+00 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar001)____________________ 1.46592657771238949e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu001)____________________ 2.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl001)____________________ 4.00000000000000000e+00 
nd_plasma_electrons_vol_avg______________________________________________ (itvar002)_____________________ 2.11229925265867866e+20 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm002)_______________________ 1.00999294857926691e+00 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar002)____________________ 3.85120470328128128e-01 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu002)____________________ 5.00500000000000000e+20 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl002)____________________ 3.00500000000000000e+19 
hfact____________________________________________________________________ (itvar003)_____________________ 1.21880117475296124e+00 
